                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9185,                 2.6126,                 1.7629,                0.69332,                0.72203,                0.75535,                 0.5639,                 1.0973,                 1.2542,                 1.1404,             7.2191e-05,             7.2191e-05,             7.2191e-05
                      2,                 1.6912,                 1.4794,                 1.6256,                0.83991,                0.78264,                0.82685,                0.66502,                0.90666,                0.99176,                 1.0784,             0.00014309,             0.00014309,             0.00014309
                      3,                 1.6587,                 1.3101,                 1.6049,                0.83535,                0.78795,                0.83333,                0.64762,                 1.0182,                 1.0111,                 1.1545,             0.00021256,             0.00021256,             0.00021256
                      4,                 1.6099,                 1.2176,                 1.5952,                0.90316,                0.81878,                0.86351,                0.67555,                0.97014,                 0.8993,                 1.1363,             0.00021056,             0.00021056,             0.00021056
                      5,                 1.5658,                 1.1135,                 1.5699,                0.89725,                0.82728,                0.86441,                0.67573,                0.96121,                0.83474,                   1.14,             0.00020841,             0.00020841,             0.00020841
                      6,                 1.5326,                 1.0679,                 1.5522,                0.89864,                0.85574,                0.88059,                  0.721,                0.82741,                0.76048,                 1.0758,             0.00020626,             0.00020626,             0.00020626
                      7,                 1.5205,                 1.0406,                 1.5522,                0.91821,                0.83538,                0.87505,                0.70226,                0.92165,                0.83268,                 1.1152,             0.00020411,             0.00020411,             0.00020411
                      8,                 1.4943,                0.98841,                 1.5355,                0.91588,                0.81422,                0.87744,                 0.7255,                0.78215,                 0.7461,                 1.0409,             0.00020196,             0.00020196,             0.00020196
                      9,                 1.4699,                0.96246,                 1.5091,                 0.9147,                0.85108,                0.88349,                0.71576,                0.90019,                 0.8639,                 1.1016,             0.00019981,             0.00019981,             0.00019981
                     10,                  1.412,                0.90853,                 1.4795,                0.93897,                0.85966,                0.89612,                0.73108,                0.91322,                0.73401,                  1.117,             0.00019767,             0.00019767,             0.00019767
                     11,                 1.4069,                0.90549,                 1.4705,                0.92557,                 0.8629,                 0.8876,                0.70882,                0.92059,                0.74651,                 1.1162,             0.00019552,             0.00019552,             0.00019552
                     12,                 1.3709,                0.87089,                 1.4507,                0.93003,                0.85289,                0.89097,                0.71728,                0.93319,                0.75784,                 1.1253,             0.00019337,             0.00019337,             0.00019337
                     13,                 1.3621,                0.85485,                 1.4471,                0.94764,                0.85174,                0.88877,                0.72692,                0.82505,                0.73115,                 1.0708,             0.00019122,             0.00019122,             0.00019122
                     14,                 1.3426,                0.82014,                  1.428,                0.93196,                0.85036,                0.89075,                0.71676,                0.85515,                0.76962,                 1.0754,             0.00018907,             0.00018907,             0.00018907
                     15,                 1.3299,                0.81479,                 1.4263,                0.91899,                0.86277,                 0.8908,                0.72605,                0.86505,                0.74569,                 1.1008,             0.00018692,             0.00018692,             0.00018692
                     16,                 1.3128,                0.79309,                  1.404,                 0.9448,                0.84445,                0.89476,                0.73046,                0.87563,                0.70141,                 1.0959,             0.00018478,             0.00018478,             0.00018478
                     17,                 1.2887,                0.77481,                 1.3946,                0.93994,                0.85834,                0.89925,                0.74136,                0.84805,                0.75315,                 1.0777,             0.00018263,             0.00018263,             0.00018263
                     18,                  1.298,                0.75958,                 1.3982,                0.93394,                 0.8766,                0.89919,                0.74395,                0.82953,                0.70578,                 1.0803,             0.00018048,             0.00018048,             0.00018048
                     19,                 1.2625,                0.73918,                 1.3778,                0.95441,                 0.8597,                0.89965,                 0.7341,                0.88425,                0.71811,                 1.1052,             0.00017833,             0.00017833,             0.00017833
                     20,                 1.2483,                 0.7311,                   1.38,                0.93401,                 0.8629,                0.89983,                0.73672,                0.85922,                0.68856,                 1.0832,             0.00017618,             0.00017618,             0.00017618
                     21,                  1.237,                 0.7157,                 1.3556,                0.94127,                0.85722,                0.89472,                0.74003,                0.80829,                0.70094,                 1.0535,             0.00017403,             0.00017403,             0.00017403
                     22,                 1.2311,                0.70064,                 1.3598,                0.95308,                0.85882,                 0.9009,                0.74186,                0.87849,                0.71988,                 1.0838,             0.00017189,             0.00017189,             0.00017189
                     23,                 1.2294,                0.69793,                 1.3679,                  0.937,                0.86482,                0.89482,                0.74217,                0.82958,                0.75454,                 1.0564,             0.00016974,             0.00016974,             0.00016974
                     24,                 1.2089,                0.68624,                 1.3436,                0.95565,                0.86486,                 0.8955,                0.72666,                0.89411,                0.69728,                 1.1107,             0.00016759,             0.00016759,             0.00016759
                     25,                 1.1977,                0.69026,                 1.3342,                0.94864,                0.85825,                0.89752,                0.72114,                0.93084,                0.69846,                 1.1327,             0.00016544,             0.00016544,             0.00016544
                     26,                 1.1904,                0.66759,                 1.3342,                0.93791,                0.86381,                0.89861,                0.73984,                0.84541,                0.72773,                 1.0643,             0.00016329,             0.00016329,             0.00016329
                     27,                  1.184,                0.67523,                 1.3295,                0.95743,                0.85292,                0.90169,                0.74531,                0.81794,                0.65848,                 1.0687,             0.00016114,             0.00016114,             0.00016114
                     28,                 1.1853,                0.66551,                 1.3214,                0.95505,                0.87263,                 0.9025,                0.73787,                  0.829,                0.65664,                 1.0676,               0.000159,               0.000159,               0.000159
                     29,                 1.1461,                0.64213,                 1.2976,                0.93773,                0.86045,                0.89884,                 0.7506,                0.79713,                0.67787,                 1.0441,             0.00015685,             0.00015685,             0.00015685
                     30,                 1.1498,                0.63771,                 1.3055,                 0.9524,                0.86164,                0.90699,                0.74662,                0.86694,                0.70279,                  1.077,              0.0001547,              0.0001547,              0.0001547
                     31,                 1.1398,                0.64024,                 1.2938,                0.94485,                0.86426,                0.90551,                0.75021,                0.84819,                0.72085,                 1.0728,             0.00015255,             0.00015255,             0.00015255
                     32,                 1.1366,                0.63662,                 1.3065,                0.93838,                0.86264,                0.89846,                0.74691,                0.81068,                0.70651,                  1.056,              0.0001504,              0.0001504,              0.0001504
                     33,                 1.1311,                0.62963,                 1.2968,                0.94405,                0.86308,                0.90354,                 0.7513,                0.80168,                 0.7116,                 1.0367,             0.00014825,             0.00014825,             0.00014825
                     34,                  1.108,                0.61852,                 1.2787,                0.95255,                0.85772,                0.90144,                0.75865,                0.75989,                0.69026,                  1.027,             0.00014611,             0.00014611,             0.00014611
                     35,                 1.0984,                0.61872,                  1.284,                0.94847,                0.85577,                0.90179,                0.74837,                0.82377,                0.74137,                 1.0633,             0.00014396,             0.00014396,             0.00014396
                     36,                  1.093,                0.60941,                 1.2687,                0.93838,                0.86868,                0.90119,                0.75545,                0.77896,                 0.6723,                 1.0458,             0.00014181,             0.00014181,             0.00014181
                     37,                 1.0918,                 0.6072,                 1.2702,                0.94416,                0.87177,                0.90371,                0.75145,                 0.8161,                0.67672,                 1.0547,             0.00013966,             0.00013966,             0.00013966
                     38,                 1.0819,                0.59514,                 1.2657,                0.94448,                0.86621,                0.90109,                0.74106,                0.85114,                 0.6548,                  1.089,             0.00013751,             0.00013751,             0.00013751
                     39,                 1.0783,                0.59126,                 1.2606,                0.94572,                0.86003,                 0.9011,                0.75789,                0.77471,                0.70596,                 1.0244,             0.00013536,             0.00013536,             0.00013536
                     40,                 1.0711,                0.58706,                 1.2594,                0.94955,                0.86751,                0.90566,                0.75872,                0.78932,                0.68509,                  1.037,             0.00013322,             0.00013322,             0.00013322
                     41,                 1.0616,                 0.5807,                 1.2472,                0.94773,                0.86703,                0.90318,                0.76216,                0.76325,                0.69616,                 1.0297,             0.00013107,             0.00013107,             0.00013107
                     42,                 1.0468,                0.57433,                 1.2372,                0.94334,                0.86995,                0.90675,                0.75788,                 0.8197,                0.69102,                 1.0366,             0.00012892,             0.00012892,             0.00012892
                     43,                 1.0287,                0.57029,                   1.23,                0.93851,                0.87215,                 0.9058,                0.75114,                0.85942,                 0.7066,                 1.0622,             0.00012677,             0.00012677,             0.00012677
